transcript,wav_filename,wav_filesize
Bolsheviklar ham xuddi shu ishni qilishadi,AwACAgIAAxkBAAIKeF-hpVGwsfewrkz4SM3ablOvwhuTAALkBwAC-QoQScRc2aD3IOHJHgQ.wav,12094
vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,AwACAgIAAxkBAAMpX51e2JJNEdZNGqMeEcxlXKQj2vIAAjwIAAIirelI38msll9rcQQbBA.wav,86849
vazirlar mahkamasi yangi saylangan O'zbekiston respublikasi oliy majlisi oldida o'z vakolatlarini zimmasidan soqit qiladi.,AwACAgIAAxkBAAOFX5_7bHVGpulxbin8YsmyQWP65RQAAuIJAAK0HwFJyw8hgn62oDYeBA.wav,81140
"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",AwACAgIAAxkBAAPmX6DxEMPchGQN3H0gVgw34VEZWl0AAm0JAAJ4ywhJ7gpg6lICpzMeBA.wav,17904
"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",AwACAgIAAxkBAAPfX6DxA7RKYVh62r18X7Q0wgdRPSAAAv0KAALr7whJLYHuJszWXYweBA.wav,14564
Lekin buni kamida bir yil sinash kerak.,AwACAgIAAxkBAAIBB1-g8TLziatVP94RsVzN4FXgPDCSAAIBCwAC6-8ISe2YRn3rAAGY1x4E.wav,9660
Akkumulyatorlar sovuq iqlimga qanchalik bardosh beradi.,AwACAgIAAxkBAAIBFF-g8UPBOD8zAAEWtpRoEdmTUpuLKAACAwsAAuvvCEmujuZFKI0-eR4E.wav,11289
vazirlar mahkamasi yangi saylangan O'zbekiston respublikasi oliy majlisi oldida o'z vakolatlarini zimmasidan soqit qiladi.,AwACAgIAAxkBAAPOX6Dw8a4AAZPokjb8eBjagPfqx9qVAAJrCQACeMsISZ2TO8bENnbGHgQ.wav,24283
vazirlar mahkamasi yangi saylangan O'zbekiston respublikasi oliy majlisi oldida o'z vakolatlarini zimmasidan soqit qiladi.,AwACAgIAAxkBAANOX56juIXrukHIAgWQtNSLzEtaqBkAAsgJAAIirflIwAoNq8AsqdweBA.wav,87133
"muhammad yusuf ijodining o'ziga xos xususiyati shundaki, u juda oson o'qiladi, sodda, xalqchil.",AwACAgIAAxkBAAPzX6DxHFsZp-xFKDKtS7YxmOAWls8AAm4JAAJ4ywhJ3XTiHfpX6WgeBA.wav,24472
yomon axloqning qalb sofligiga beradigan zarari esa qo'rqinchliroqdir.,AwACAgIAAxkBAAP8X6DxKEBNqrIxYSo5HkkKMYkb3sYAAwsAAuvvCEkr5xm1Z_k01x4E.wav,16300
"kishilar bepoyon yashil o'tloqlar, tevarakni o'rab olgan turli tuman yovvoyi hayvonlaru bo'rilarning hamlalari aro turli taraflarga yo'l olganlar.",AwACAgIAAxkBAAP-X6DxKWluAAH3SayELW762H1r8gf1AAJvCQACeMsIScFO10zOMoiJHgQ.wav,31246
vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,AwACAgIAAxkBAAN9X5_lkGjkctTyuFW6cJt-9CFAvbUAArsJAAK0HwFJMxH7aJbeS6UeBA.wav,90323
vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,AwACAgIAAxkBAAPLX6Dw7Md0Xkzh9eWqDXV3o1pLhR0AAsEKAAK7IghJsQePEEynULIeBA.wav,39982
"kishilar bepoyon yashil o'tloqlar, tevarakni o'rab olgan turli tuman yovvoyi hayvonlaru bo'rilarning hamlalari aro turli taraflarga yo'l olganlar.",AwACAgIAAxkBAAIBJ1-g8VGN0g0I2ugNcG9QxJqyFXM3AALNCgACxSQISfuWCBHTxTTnHgQ.wav,33308
Chopar mulzam holda yerga qarabdi,AwACAgIAAxkBAAIKuF-hpj3ByJlGg4ul44--LWwAAvcQAAIBCAAC-QoQSXV4ezWZMRd0HgQ.wav,13633
